Naam;x;y
DWP_1;125161.750;462041.580
DWP_10;124730.100;462692.666
DWP_11;124651.735;462807.499
DWP_12;124526.260;462744.625
DWP_13;124577.790;462677.805
DWP_14;124662.925;462568.256
DWP_15;124699.173;462521.349
DWP_16;124723.118;462490.874
DWP_17;124756.196;462447.100
DWP_2;125129.978;462089.711
DWP_23;125004.684;462122.889
DWP_24;125039.055;462073.239
DWP_25;125059.148;462045.535
DWP_26;125099.550;461991.978
DWP_27;125146.074;461932.321
DWP_28;125136.619;461862.564
DWP_29;125010.827;461805.849
DWP_3;125088.464;462151.664
DWP_30;124910.932;461750.946
DWP_31;124902.884;461733.541
DWP_32;125015.128;461783.378
DWP_33;125161.206;461859.798
DWP_34;125196.567;461862.009
DWP_35;125238.594;461800.025
DWP_36;125261.753;461754.926
DWP_37;125300.603;461679.772
DWP_38;125327.128;461626.998
DWP_39;125347.347;461586.265
DWP_4;125005.728;462266.522
DWP_40;125402.224;461476.545
DWP_41;125456.159;461365.925
DWP_42;125477.859;461320.627
DWP_43;125562.819;461157.608
DWP_44;125641.375;461004.587
DWP_45;125677.041;460934.382
DWP_46;125708.110;460872.583
DWP_47;125764.061;460762.024
DWP_48;125774.517;460829.944
DWP_49;125677.110;461018.446
DWP_5;124963.313;462334.902
DWP_50;125615.444;461142.393
DWP_51;125582.607;461206.287
DWP_52;125630.869;461275.255
DWP_53;125594.579;461364.050
DWP_54;125540.459;461449.523
DWP_55;125487.432;461534.452
DWP_56;125408.408;461660.467
DWP_57;125347.436;461758.804
DWP_58;125290.525;461838.833
DWP_59;125251.802;461903.169
DWP_6;124932.717;462386.444
DWP_60;125556.463;461241.014
DWP_61;125185.409;461883.033
DWP_7;124903.838;462431.749
DWP_8;124879.227;462467.813
DWP_9;124798.209;462589.244
